average_displacement,from_position_x,to_position_y,to_position_x,uuid,movement_type,from_position_y
0,102,90,102,e63d0611-a9a6-49c5-a30f-f16378a96537,3,90
0.14765625,292,155,294,56c07e5a-cc97-49d3-bcdd-325bc3dc9d2c,1,155
1.80473676451965,329,166,349,a36398e3-d269-483c-a62d-63781506c9af,4,172
0,102,90,102,e63d0611-a9a6-49c5-a30f-f16378a96537,1,90
0,102,90,102,e63d0611-a9a6-49c5-a30f-f16378a96537,1,90
0,102,90,102,e63d0611-a9a6-49c5-a30f-f16378a96537,1,90
1.7324629287663749,329,164,355,a36398e3-d269-483c-a62d-63781506c9af,4,172
4.682607843836597,263,278,197,a36398e3-d269-483c-a62d-63781506c9af,2,236
0.15696022727272727,292,155,292,56c07e5a-cc97-49d3-bcdd-325bc3dc9d2c,1,155
0.141796875,294,155,292,56c07e5a-cc97-49d3-bcdd-325bc3dc9d2c,1,155
0,102,90,102,e63d0611-a9a6-49c5-a30f-f16378a96537,1,90
0,102,90,102,e63d0611-a9a6-49c5-a30f-f16378a96537,1,90
1.6921891344070725,335,164,355,a36398e3-d269-483c-a62d-63781506c9af,4,170
0,102,90,102,e63d0611-a9a6-49c5-a30f-f16378a96537,1,90
0,102,90,102,e63d0611-a9a6-49c5-a30f-f16378a96537,3,90
1.49453125,245,247,219,15d0efa6-543e-4439-800d-43b68150f8b0,4,247
4.775329634757729,263,292,173,a36398e3-d269-483c-a62d-63781506c9af,2,236
0,102,90,102,e63d0611-a9a6-49c5-a30f-f16378a96537,3,90
0,102,90,102,e63d0611-a9a6-49c5-a30f-f16378a96537,1,90
1.984375,193,143,193,e479de65-59c8-44d9-97f9-ae9edf464772,4,143
0,102,90,102,e63d0611-a9a6-49c5-a30f-f16378a96537,1,90
1.986328125,193,143,191,e479de65-59c8-44d9-97f9-ae9edf464772,4,143
0,102,90,102,e63d0611-a9a6-49c5-a30f-f16378a96537,3,90
1.99609375,191,143,191,e479de65-59c8-44d9-97f9-ae9edf464772,4,143
0.002734375,187,143,187,e479de65-59c8-44d9-97f9-ae9edf464772,1,143
0,102,90,102,e63d0611-a9a6-49c5-a30f-f16378a96537,3,90
0,102,90,102,e63d0611-a9a6-49c5-a30f-f16378a96537,3,90
0,102,90,102,e63d0611-a9a6-49c5-a30f-f16378a96537,1,90
4.731086541745584,253,292,173,a36398e3-d269-483c-a62d-63781506c9af,2,242
0.093359375,286,155,280,56c07e5a-cc97-49d3-bcdd-325bc3dc9d2c,1,155
0.0024857954545454545,187,143,187,e479de65-59c8-44d9-97f9-ae9edf464772,1,143
